id,name,fsa_code,area,main_type,cuisine_group,price_level,rating,user_rating_count,menu_for_children,good_for_children,good_for_groups,accepts_non_cash,has_free_parking,has_paid_parking,open_24hrs,weekday_open_days,weekend_open_days,total_hrs,avg_daily_hrs,avg_weekday_hrs,avg_weekend_hrs
ChIJ248-9F4koFMRT8cYGKfqkLA,Eddie's Donair,T6V,The Palisades /  WestCastle Downs,western cuisine,american restaurant,inexpensive,4.6,334.0,False,True,False,True,True,False,False,5,2,77.0,11.0,11.4,10.0
ChIJk2VhcCY9oFMRpDHxnVgXqEc,Boston Pizza,T5W,CentralBeverly,western cuisine,italian restaurant,moderate,4.1,887.0,True,True,True,True,True,False,False,5,2,93.0,13.285714285714286,13.2,13.5
ChIJpQjld74ioFMRT_6komM3_9s,Boston Pizza,T6A,NorthCapilano,western cuisine,italian restaurant,moderate,4.0,969.0,True,True,True,True,True,False,False,5,2,93.0,13.285714285714286,13.2,13.5
ChIJ1S2-5E0ioFMR22WIYeX63mE,Asian Express Hotpot 明火鍋,T5H,North and EastDowntown Fringe,generic restaurant,restaurant,moderate,4.3,645.0,False,False,True,True,True,False,False,4,2,54.0,9.0,7.25,12.5
ChIJV0u-Ab4ioFMR6rrhdQsKomA,Subway,T6A,NorthCapilano,fast or casual dining,fast food restaurant,inexpensive,3.2,151.0,True,False,False,True,True,False,False,5,2,99.0,14.142857142857142,14.2,14.0
ChIJX1r1h8QfoFMRzBev3ML-Jhs,Pizza 73,T6R,Riverbend,western cuisine,italian restaurant,inexpensive,3.9,343.0,True,True,False,True,True,False,False,5,2,99.0,14.142857142857142,14.2,14.0
ChIJcZx4Y3AjoFMR0ba3S3nOSnc,Subway,T5E,WestLondonderry /  EastCalder,fast or casual dining,fast food restaurant,inexpensive,3.8,413.0,True,True,True,True,True,False,False,5,2,110.0,15.714285714285714,16.0,15.0
ChIJQweaLAIcoFMRs4sSLlvG8So,Jack's Bar & kitchen,T6X,Ellerslie,beverage and bar,bar,moderate,4.2,774.0,False,False,True,True,True,False,False,5,2,62.0,8.857142857142858,8.6,9.5
ChIJY9N7yycfoFMR6sacoUcEFgg,Fatburger Gateway,T6J,Kaskitayo / Aspen Gardens,western cuisine,american restaurant,moderate,4.1,1015.0,True,True,True,True,True,False,False,5,2,99.5,14.214285714285714,14.0,14.75
ChIJgSDZ1pckoFMRT_KBJSsHLUs,Pizza Hut,T5X,EastCastle Downs,western cuisine,italian restaurant,moderate,4.0,400.0,False,True,False,True,True,False,False,5,2,96.5,13.785714285714286,13.7,14.0
ChIJn1SEsPsboFMR4Jr2GMwLNq8,A&W Canada,T6X,Ellerslie,western cuisine,american restaurant,inexpensive,3.9,752.0,True,True,True,True,True,False,True,5,2,168.0,24.0,24.0,24.0
